	raw_category	category	mpcat40	ade20k	ade20k_net					
0	",1"	unknown	unlabeled	unlabeled	unlabeled					
1	",4"	unknown	unlabeled	unlabeled	unlabeled					
2	",5"	unknown	unlabeled	unlabeled	unlabeled					
3	",6"	unknown	unlabeled	unlabeled	unlabeled					
4	/unknown/ probably decoration	unknown	unlabeled	unlabeled	unlabeled					
5	acoustic panel	acoustic panel	misc	wall	"awning, sunshade, sunblind"					
6	advertisement	advertisement	misc	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
7	aemchair	armchair	chair	armchair	armchair					
8	affice chair	office chair	chair	chair	chair					
9	air conditioner	air conditioner	objects	radiator	"washer, automatic washer, washing machine"					
10	air conditioning	air conditioning	objects	radiator	water					
11	air duct	air duct	misc	radiator	radiator					
12	air freshener	air freshener	objects	radiator	shower					
13	air heater	air heater	misc	radiator	stove					
14	air hockey	air hockey	objects	arcade machine	sea					
15	air purifier	air purifier	objects	radiator	water					
16	air refresher	air refresher	objects	radiator	"ottoman, pouf, pouffe, puff, hassock"					
17	air vent	air vent	misc	"hood, exhaust hood"	"hood, exhaust hood"					
18	air vent fan	air vent fan	objects	fan	fan					
19	air vent installation	air vent installation	misc	"hood, exhaust hood"	"hood, exhaust hood"					
20	aisle frame	aisle frame	misc	"screen door, screen"	"screen door, screen"					
21	alarm	alarm	objects	clock	"washer, automatic washer, washing machine"					
22	alarm clock	alarm clock	objects	clock	clock					
23	alarm control	alarm control	misc	clock	monitor					
24	alarm controller	alarm controller	misc	computer	computer					
25	album	album	objects	book	"rock, stone"					
26	albums	albums	objects	book	"rock, stone"					
27	alcohol bottles	alcohol bottles	objects	bottle	"glass, drinking glass"					
28	american flag	american flag	misc	flag	flag					
29	amp	amplifier	objects	radiator	radiator					
30	amplifier	amplifier	objects	radiator	radiator					
31	antique clock	antique clock	objects	clock	clock					
32	antique telehone	antique telephone	objects	"buffet, counter, sideboard"	"buffet, counter, sideboard"					
33	antique telephone	antique telephone	objects	"buffet, counter, sideboard"	"buffet, counter, sideboard"					
34	antlers	antlers	misc	tree	tree					
35	apple	apple	objects	"food, solid food"	flower					
36	appliance	appliance	misc	dishwasher	dishwasher					
37	apron	apron	misc	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
38	aquarium	aquarium	misc	fountain	fountain					
39	arcade	arcade	misc	arcade machine	arcade machine					
40	arcade game	arcade game	misc	arcade machine	arcade machine					
41	arch	arch	misc	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
42	archway	archway	door	door	"stairway, staircase"					
43	arm chair	armchair	chair	armchair	armchair					
44	armchair	armchair	chair	armchair	armchair					
45	armchir	armchair	chair	armchair	armchair					
46	art	picture	picture	"painting, picture"	"painting, picture"					
47	art frame	art frame	misc	sculpture	sculpture					
48	art piece	art piece	misc	sculpture	sculpture					
49	art work	artwork	picture	"painting, picture"	"painting, picture"					
50	art/clutter	art/clutter	misc	"case, display case, showcase, vitrine"	"painting, picture"					
51	art/muscle shell	art/muscle shell	misc	"case, display case, showcase, vitrine"	"painting, picture"					
52	art/statue	art/statue	misc	sculpture	"painting, picture"					
53	artframe	art frame	misc	sculpture	sculpture					
54	artwork	artwork	picture	"painting, picture"	"painting, picture"					
55	artwork frame	artwork frame	misc	sculpture	sculpture					
56	ashtray	ashtray	objects	tray	"toilet, can, commode, crapper, pot, potty, stool, throne"					
57	attic door	attic door	misc	door	door					
58	attic entrance	attic entrance	misc	door	"stairway, staircase"					
59	attic hatch	attic hatch	misc	radiator	radiator					
60	audio cable	audio cable	misc	"awning, sunshade, sunblind"	tv					
61	audio cables	audio cables	misc	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
62	audio player	audio player	objects	computer	fan					
63	axe	axe	objects	unlabeled	fan					
64	baby chair	baby chair	misc	seat	chair					
